=== RESULTADO DA QUERY 1 ===
linhas_alvo: 16055

=== RESULTADO DA QUERY 2 (Amostra 200) ===
id       | ts_local             | imp      | ger      | exp      | consumo_calc
---------------------------------------------------------------------------
25299    | 2026-07-12 17:18:33  | 601.0    | 0.0      | 0.0      | 601.0       
25298    | 2026-07-12 17:13:32  | 600.0    | 0.0      | 0.0      | 600.0       
25297    | 2026-07-12 17:08:31  | 464.0    | 20.0     | 0.0      | 484.0       
25296    | 2026-07-12 17:03:31  | 440.0    | 20.0     | 0.0      | 460.0       
25295    | 2026-07-12 16:58:30  | 370.0    | 20.0     | 0.0      | 390.0       
25294    | 2026-07-12 16:53:29  | 302.0    | 87.4     | 0.0      | 389.4       
25293    | 2026-07-12 16:48:27  | 151.0    | 141.8    | 0.0      | 292.8       
25292    | 2026-07-12 16:43:26  | 0.0      | 1619.7   | 53.0     | 1566.7      
25291    | 2026-07-12 16:38:25  | 0.0      | 2174.7   | 1681.0   | 493.7       
25290    | 2026-07-12 16:33:24  | 0.0      | 2262.2   | 1869.0   | 393.2       
25289    | 2026-07-12 16:28:24  | 0.0      | 2270.0   | 1696.0   | 574.0       
25288    | 2026-07-12 16:23:23  | 0.0      | 1633.8   | 1911.0   | -277.2      
25287    | 2026-07-12 16:18:23  | 0.0      | 2411.7   | 1626.0   | 785.7       
25286    | 2026-07-12 16:13:22  | 0.0      | 1488.5   | 30.0     | 1458.5      
25285    | 2026-07-12 16:08:22  | 0.0      | 2520.5   | 2298.0   | 222.5       
25284    | 2026-07-12 16:03:21  | 0.0      | 1449.7   | 623.0    | 826.7       
25283    | 2026-07-12 15:58:21  | 0.0      | 2211.7   | 3039.0   | -827.3      
25282    | 2026-07-12 15:53:20  | 0.0      | 2472.8   | 3465.0   | -992.2      
25281    | 2026-07-12 15:48:20  | 0.0      | 748.6    | 196.0    | 552.6       
25280    | 2026-07-12 15:43:19  | 0.0      | 641.4    | 335.0    | 306.4       
25279    | 2026-07-12 15:38:19  | 0.0      | 679.6    | 0.0      | 679.6       
25278    | 2026-07-12 15:33:18  | 0.0      | 911.0    | 253.0    | 658.0       
25277    | 2026-07-12 15:28:18  | 0.0      | 1228.4   | 760.0    | 468.4       
25276    | 2026-07-12 15:23:17  | 0.0      | 1655.1   | 843.0    | 812.1       
25275    | 2026-07-12 15:18:17  | 0.0      | 1287.7   | 586.0    | 701.7       
25274    | 2026-07-12 15:13:16  | 0.0      | 1721.0   | 836.0    | 885.0       
25273    | 2026-07-12 15:08:16  | 816.0    | 1887.0   | 0.0      | 2703.0      
25272    | 2026-07-12 15:03:15  | 1006.0   | 4052.4   | 0.0      | 5058.4      
25271    | 2026-07-12 14:58:15  | 0.0      | 3463.0   | 1273.0   | 2190.0      
25270    | 2026-07-12 14:53:14  | 0.0      | 730.5    | 36.0     | 694.5       
25269    | 2026-07-12 14:48:14  | 90.0     | 615.3    | 0.0      | 705.3       
25268    | 2026-07-12 14:43:13  | 186.0    | 544.1    | 0.0      | 730.1       
25267    | 2026-07-12 14:38:13  | 2300.0   | 774.9    | 0.0      | 3074.9      
25266    | 2026-07-12 14:33:12  | 2884.0   | 376.0    | 0.0      | 3260.0      
