=== AMOSTRA DE DADOS COM CONSUMO NEGATIVO (Limite 100) ===
id       | ts_local             | imp      | ger      | exp      | consumo_calc
---------------------------------------------------------------------------
21169    | 2026-06-27 08:30:59  | 0.0      | 0.0      | 1709.0   | -1709.0     
21168    | 2026-06-27 08:25:57  | 0.0      | 0.0      | 1409.0   | -1409.0     
20944    | 2026-06-26 13:40:58  | 0.0      | 1570.0   | 3179.0   | -1609.0     
20939    | 2026-06-26 13:15:52  | 0.0      | 4800.0   | 4865.0   | -65.0       
20936    | 2026-06-26 13:00:49  | 0.0      | 3890.0   | 4630.0   | -740.0      
20910    | 2026-06-26 10:50:22  | 0.0      | 3200.0   | 3955.0   | -755.0      
20906    | 2026-06-26 10:30:18  | 0.0      | 2080.0   | 2323.0   | -243.0      
20882    | 2026-06-26 08:29:52  | 0.0      | 540.0    | 596.0    | -56.0       
20880    | 2026-06-26 08:19:50  | 0.0      | 520.0    | 598.0    | -78.0       
20628    | 2026-06-25 11:14:53  | 0.0      | 0.0      | 1116.0   | -1116.0     
20627    | 2026-06-25 11:09:51  | 0.0      | 0.0      | 1840.0   | -1840.0     
20618    | 2026-06-25 10:24:41  | 0.0      | 1700.0   | 1939.0   | -239.0      
20607    | 2026-06-25 09:29:29  | 0.0      | 2130.0   | 2183.0   | -53.0       
19826    | 2026-06-22 16:11:08  | 0.0      | 1090.0   | 1543.0   | -453.0      
19550    | 2026-06-21 17:06:14  | 0.0      | 0.0      | 137.0    | -137.0      
19549    | 2026-06-21 17:01:13  | 0.0      | 0.0      | 241.0    | -241.0      
19548    | 2026-06-21 16:56:11  | 0.0      | 0.0      | 320.0    | -320.0      
19547    | 2026-06-21 16:51:10  | 0.0      | 0.0      | 709.0    | -709.0      
19546    | 2026-06-21 16:46:09  | 0.0      | 0.0      | 791.0    | -791.0      
19545    | 2026-06-21 16:41:08  | 0.0      | 0.0      | 1083.0   | -1083.0     
19544    | 2026-06-21 16:36:07  | 0.0      | 0.0      | 1293.0   | -1293.0     
19543    | 2026-06-21 16:31:06  | 0.0      | 0.0      | 1629.0   | -1629.0     
19542    | 2026-06-21 16:26:05  | 0.0      | 0.0      | 1395.0   | -1395.0     
19541    | 2026-06-21 16:21:04  | 0.0      | 0.0      | 1670.0   | -1670.0     
19540    | 2026-06-21 16:16:03  | 0.0      | 0.0      | 2119.0   | -2119.0     
19539    | 2026-06-21 16:11:02  | 0.0      | 0.0      | 1546.0   | -1546.0     
19538    | 2026-06-21 16:06:01  | 0.0      | 0.0      | 2359.0   | -2359.0     
19537    | 2026-06-21 16:01:00  | 0.0      | 0.0      | 2325.0   | -2325.0     
19536    | 2026-06-21 15:55:58  | 0.0      | 0.0      | 2614.0   | -2614.0     
19535    | 2026-06-21 15:50:57  | 0.0      | 0.0      | 2720.0   | -2720.0     
19534    | 2026-06-21 15:45:56  | 0.0      | 0.0      | 2997.0   | -2997.0     
19533    | 2026-06-21 15:40:55  | 0.0      | 0.0      | 3145.0   | -3145.0     
19532    | 2026-06-21 15:35:54  | 0.0      | 0.0      | 3181.0   | -3181.0     
19531    | 2026-06-21 15:30:53  | 0.0      | 0.0      | 3105.0   | -3105.0     
19530    | 2026-06-21 15:25:52  | 0.0      | 0.0      | 3573.0   | -3573.0     
19529    | 2026-06-21 15:20:51  | 0.0      | 0.0      | 3424.0   | -3424.0     
19528    | 2026-06-21 15:15:50  | 0.0      | 0.0      | 3747.0   | -3747.0     
19527    | 2026-06-21 15:10:49  | 0.0      | 0.0      | 4071.0   | -4071.0     
19526    | 2026-06-21 15:05:48  | 0.0      | 0.0      | 4065.0   | -4065.0     
19525    | 2026-06-21 15:00:47  | 0.0      | 0.0      | 4313.0   | -4313.0     
19524    | 2026-06-21 14:55:46  | 0.0      | 0.0      | 4373.0   | -4373.0     
19523    | 2026-06-21 14:50:45  | 0.0      | 0.0      | 4310.0   | -4310.0     
19522    | 2026-06-21 14:45:44  | 0.0      | 0.0      | 4127.0   | -4127.0     
19521    | 2026-06-21 14:40:43  | 0.0      | 0.0      | 4449.0   | -4449.0     
19520    | 2026-06-21 14:35:42  | 0.0      | 0.0      | 4668.0   | -4668.0     
19519    | 2026-06-21 14:30:42  | 0.0      | 0.0      | 4605.0   | -4605.0     
19518    | 2026-06-21 14:25:41  | 0.0      | 0.0      | 4813.0   | -4813.0     
19517    | 2026-06-21 14:20:40  | 0.0      | 0.0      | 4899.0   | -4899.0     
19516    | 2026-06-21 14:15:39  | 0.0      | 0.0      | 1851.0   | -1851.0     
19515    | 2026-06-21 14:10:38  | 0.0      | 0.0      | 1381.0   | -1381.0     
19514    | 2026-06-21 14:05:37  | 0.0      | 0.0      | 1506.0   | -1506.0     
19513    | 2026-06-21 14:00:36  | 0.0      | 0.0      | 2141.0   | -2141.0     
19512    | 2026-06-21 13:55:34  | 0.0      | 0.0      | 2062.0   | -2062.0     
19511    | 2026-06-21 13:50:33  | 0.0      | 0.0      | 2191.0   | -2191.0     
19510    | 2026-06-21 13:45:33  | 0.0      | 0.0      | 1175.0   | -1175.0     
19509    | 2026-06-21 13:40:31  | 0.0      | 0.0      | 1325.0   | -1325.0     
19508    | 2026-06-21 13:35:30  | 0.0      | 0.0      | 1312.0   | -1312.0     
19507    | 2026-06-21 13:30:30  | 0.0      | 0.0      | 1237.0   | -1237.0     
19506    | 2026-06-21 13:25:29  | 0.0      | 0.0      | 1490.0   | -1490.0     
19505    | 2026-06-21 13:20:28  | 0.0      | 0.0      | 1302.0   | -1302.0     
19504    | 2026-06-21 13:15:27  | 0.0      | 0.0      | 4395.0   | -4395.0     
19503    | 2026-06-21 13:10:26  | 0.0      | 0.0      | 4431.0   | -4431.0     
19502    | 2026-06-21 13:05:25  | 0.0      | 0.0      | 4086.0   | -4086.0     
19501    | 2026-06-21 13:00:24  | 0.0      | 0.0      | 4328.0   | -4328.0     
19500    | 2026-06-21 12:55:23  | 0.0      | 0.0      | 3496.0   | -3496.0     
19499    | 2026-06-21 12:50:22  | 0.0      | 0.0      | 4440.0   | -4440.0     
19498    | 2026-06-21 12:45:21  | 0.0      | 0.0      | 4261.0   | -4261.0     
19497    | 2026-06-21 12:40:20  | 0.0      | 0.0      | 3812.0   | -3812.0     
19496    | 2026-06-21 12:35:19  | 0.0      | 0.0      | 4299.0   | -4299.0     
19495    | 2026-06-21 12:30:18  | 0.0      | 0.0      | 4413.0   | -4413.0     
19494    | 2026-06-21 12:25:17  | 0.0      | 0.0      | 4202.0   | -4202.0     
19493    | 2026-06-21 12:20:16  | 0.0      | 0.0      | 4470.0   | -4470.0     
19492    | 2026-06-21 12:15:14  | 0.0      | 0.0      | 4361.0   | -4361.0     
19491    | 2026-06-21 12:10:13  | 0.0      | 0.0      | 4451.0   | -4451.0     
19490    | 2026-06-21 12:05:12  | 0.0      | 0.0      | 4391.0   | -4391.0     
19489    | 2026-06-21 12:00:11  | 0.0      | 0.0      | 4213.0   | -4213.0     
19488    | 2026-06-21 11:55:11  | 0.0      | 0.0      | 4409.0   | -4409.0     
19487    | 2026-06-21 11:50:10  | 0.0      | 0.0      | 4282.0   | -4282.0     
19486    | 2026-06-21 11:45:09  | 0.0      | 0.0      | 4304.0   | -4304.0     
19485    | 2026-06-21 11:40:08  | 0.0      | 0.0      | 4057.0   | -4057.0     
19484    | 2026-06-21 11:35:07  | 0.0      | 0.0      | 4375.0   | -4375.0     
19483    | 2026-06-21 11:30:06  | 0.0      | 0.0      | 2918.0   | -2918.0     
19482    | 2026-06-21 11:25:05  | 0.0      | 0.0      | 4119.0   | -4119.0     
19481    | 2026-06-21 11:20:03  | 0.0      | 0.0      | 2764.0   | -2764.0     
19480    | 2026-06-21 11:15:02  | 0.0      | 0.0      | 2728.0   | -2728.0     
