=== AMOSTRA DE DADOS COM CONSUMO NEGATIVO (A partir de 22/06) ===
Total Encontrado (limit 100): 14
id       | ts_local             | imp      | ger      | exp      | consumo_calc
---------------------------------------------------------------------------
21169    | 2026-06-27 08:30:59  | 0.0      | 0.0      | 1709.0   | -1709.0     
21168    | 2026-06-27 08:25:57  | 0.0      | 0.0      | 1409.0   | -1409.0     
20944    | 2026-06-26 13:40:58  | 0.0      | 1570.0   | 3179.0   | -1609.0     
20939    | 2026-06-26 13:15:52  | 0.0      | 4800.0   | 4865.0   | -65.0       
20936    | 2026-06-26 13:00:49  | 0.0      | 3890.0   | 4630.0   | -740.0      
20910    | 2026-06-26 10:50:22  | 0.0      | 3200.0   | 3955.0   | -755.0      
20906    | 2026-06-26 10:30:18  | 0.0      | 2080.0   | 2323.0   | -243.0      
20882    | 2026-06-26 08:29:52  | 0.0      | 540.0    | 596.0    | -56.0       
20880    | 2026-06-26 08:19:50  | 0.0      | 520.0    | 598.0    | -78.0       
20628    | 2026-06-25 11:14:53  | 0.0      | 0.0      | 1116.0   | -1116.0     
20627    | 2026-06-25 11:09:51  | 0.0      | 0.0      | 1840.0   | -1840.0     
20618    | 2026-06-25 10:24:41  | 0.0      | 1700.0   | 1939.0   | -239.0      
20607    | 2026-06-25 09:29:29  | 0.0      | 2130.0   | 2183.0   | -53.0       
19826    | 2026-06-22 16:11:08  | 0.0      | 1090.0   | 1543.0   | -453.0      
